AT,V,AP,RH,PE
288.11,417.59999999999997,1024.07,731.7,463.26
298.33000000000004,629.6,1020.04,590.8,444.37
278.26000000000005,394,1012.16,921.4,488.56
294.01,573.2,1010.24,766.4,446.48
283.97,375,1009.23,966.2,473.9
299.42,594.4,1012.23,587.7,443.67
282.63,447.1,1019.12,664.3000000000001,478.42
287.79,450,1021.78,412.5,475.98
284.89000000000004,435.6,1015.14,707.2,477.5
297.49,735,1011.31,841.5,440.29
298.86,585.9000000000001,1012.77,618.3,451.28
294.57,437.9,1015.76,430.79999999999995,462.19
291.36,450,1022.86,488.40000000000003,467.54
284.19,417.40000000000003,1022.6,775.1,477.2
287.6,527.5,1023.97,635.9000000000001,459.85
290.91,424.20000000000005,1009.09,662.6,468.27
278.56,400.7,1019.16,647.6999999999999,495.24
300.38,639,1014.3,471.9,443.61
300.51,486,1003.18,549.3,436.06
287.75,393.1,1011.11,725.1999999999999,464.16
281.06,399.6,1023.57,884.4,475.52
278.96000000000004,357.9,1012.14,922.8,484.41
303.68,651.8000000000001,1012.69,418.5,437.89
297.96000000000004,639.4,1018.76,445.09999999999997,444.26
297.81,637.3,1011.4,745.1999999999999,444.37
287.06,393.5,1014.69,755.1,469.02
296.33000000000004,513,1012.04,786.4,448.86
295.62,474.5,1007.62,766.5,447.14
286.54,448.5,1017.24,804.4,469.18
282.43,415.4,1018.33,798.9,482.8
284.97,428.6,1014.12,882.8,476.7
283.42,406.4,1020.63,846,474.99
289.15000000000003,378.7,1020.24,784.0999999999999,461.33
294.37,434.3,1010.96,610.7,448.06
286.61,447.1,1014.51,500,474.6
282.54,401.1,1029.14,772.9000000000001,473.05
304.22,735,1010.58,436.59999999999997,432.06
285.97,386.2,1018.71,838,467.41
305.72,789.2,1011.6,664.7,430.12
281.26000000000005,421.8,1014.82,930.9000000000001,473.62
287.07,393.9,1012.94,805.1999999999999,471.81
296.19,594.3,1010.23,689.9,442.99
300.46000000000004,644.4,1014.65,572.7,442.77
279.06,393.29999999999995,1010.18,955.3,491.49
298.41,610.8,1013.68,717.2,447.46
301.12,588.4000000000001,1002.25,578.8000000000001,446.11
299.23,523,1007.03,633.4000000000001,442.44
302.16,657.0999999999999,1013.61,480.7,446.22
285.33000000000004,401,1016.67,918.7,471.49
286.91,458.7,1008.89,872.6999999999999,463.5
301.41,653.4000000000001,1014.56,434,441.03
294.54,629.6,1019.49,722.4,452.68
280.41,406.9,1020.43,902.2,474.91
283.69,340.3,1018.71,740,478.77
300.86,743.4000000000001,998.14,718.5,434.2
296.26,683,1017.83,866.2,437.91
280.66,410.09999999999997,1024.61,974.0999999999999,477.61
299.61,746.7,1016.65,844.4,431.65
283.47,422.8,1008.82,756.5999999999999,481.09
298.67,697.5,1010.36,900.6,435.12
294.73,672.5,1017.39,790,446.15
300.11,694.5,1013.89,514.7,436.69
289.01,430.20000000000005,1012.18,403.29999999999995,466.6
287.02000000000004,450.79999999999995,1024.42,816.9,465.48
297.24,736.8000000000001,1014.93,945.5,441.34
293.6,694.5,1012.53,918.1,441.83
305.87,697.5,1009.6,493.5,437.99
291.38,589.6,1015.55,696.1,459.12
308.71000000000004,689.4,1006.56,387.5,429.69
291.51,514.3,1010.57,901.7,459.8
299.5,640.5,1009.81,812.4,433.63
299.07,609.5,1014.62,484.6,442.84
281.16,416.59999999999997,1014.49,767.2,485.13
292.78000000000003,527.2,1025.09,511.59999999999997,459.12
293.17,673.1999999999999,1012.05,763.4000000000001,445.31
283.23,407.2,1022.7,673,480.8
300.38,664.8000000000001,1005.23,523.8000000000001,432.55
296.52000000000004,637.7,1013.42,764.4,443.86
291.89,592.1,1018.3,915.5,449.77
287.96000000000004,436.9,1017.19,719,470.71
296.25,513,1011.93,800.5,452.17
283.87,413.8,1021.6,637.7,478.29
302.61,719.4,1006.96,622.6,428.54
281.25,406.4,1020.66,890.4000000000001,478.27
300.44,626.5999999999999,1007.63,580.2,439.58
290.25,496.9,1005.53,818.1999999999999,457.32
284.64000000000004,442,1018.79,911.4,475.51
296.84000000000003,655.9000000000001,1010.85,889.2,439.66
286.66,408.9,1011.03,848.3,471.99
282.79,393.5,1015.1,917.6,479.81
301.13,583.3,1013.92,542.5,437.76
291.95000000000005,397.2,1001.24,638,459.36
291.43,447.1,1016.99,337.1,462.28
286.70000000000005,434.79999999999995,1016.08,672.5,464.33
296.14,462.1,1010.71,601.1,444.36
297.09000000000003,593.9,1014.32,745.5,438.64
286.89000000000004,340.3,1018.69,673.4000000000001,470.49
294.45,411,1001.86,427.5,455.13
297.96000000000004,637.3,1009.34,836.1,440.43
278.12,428.5,1014.02,887.8,482.98
297.03000000000003,542,1012.81,645.1999999999999,444.97
306.16,686.7,1005.2,514.0999999999999,433.94
299.13,731.8000000000001,1012.28,857.8,439.73
301.33,738.8,1005.89,754.0999999999999,434.48
294.82,608.4000000000001,1017.93,816.3,442.33
290.82,450.90000000000003,1014.26,519.2,457.67
294.52000000000004,577.6,1018.8,701.2,454.66
301.84000000000003,672.5,1017.71,538.3,432.21
289.76,437.70000000000005,1012.25,772.3000000000001,457.66
301.06,637.6,1010.27,656.7,435.21
294.12,474.3,1007.64,711.8000000000001,448.22
283.95000000000005,416.59999999999997,1013.79,819.5999999999999,475.51
293.76,629.0999999999999,1013.24,795.4000000000001,446.53
303.31,693.4000000000001,1007.67,576.9,433.54
278.14000000000004,390.4,1020.45,788.9,472.52
283.66,447.8,1012.59,852.9000000000001,474.77
306.94,690.5,1001.62,401.3,435.1
305.36,681.4,1003.34,624.4,426.56
287.41,423.2,1016,774.3000000000001,463.71
300.86,669.3000000000001,1016.85,587.7,447.06
298.91,639.4,1018.49,421.4,445.78
296.83000000000004,683,1017.93,841.5999999999999,438.65
281.43,407.70000000000005,1011.55,897.9000000000001,480.15
296.59000000000003,625.2,1016.46,672.0999999999999,447.19
298.47,484.09999999999997,1008.47,721.4,443.04
277.09000000000003,399,1008.06,974.9,488.81
290.45000000000005,577.6,1016.26,877.4,455.75
291.35,493.9,1018.83,963,455.86
294.58000000000004,469.7,1013.94,612.5,457.68
284.31,400.5,1014.95,883.8,479.11
303.53000000000003,741.5999999999999,1007.44,747.6999999999999,432.84
296.51,625.2,1016.18,681.8000000000001,448.37
296.77000000000004,492.1,1014.1,495.4,443.53
295.02000000000004,614.5,1011.13,922.2,445.21
302.40000000000003,665.1,1015.53,336.5,441.7
293.18,668.6,1013.05,645.9000000000001,450.93
291.29,497.8,1002.95,1000.9000000000001,451.44
297.38,568.9,1012.32,680.4000000000001,441.29
291.26,448.5,1014.48,489.4,458.85
279.72,436.5,1018.24,744.7,481.46
285.71000000000004,434.09999999999997,1016.93,810.1999999999999,467.19
287.43,427.40000000000003,1028.79,706.7,467.22
304.39,719.8000000000001,1004.66,571.7,426.93
286.95000000000005,442.1,1022.93,833.7,468.97
291.21000000000004,501.59999999999997,1009.52,1000.9000000000001,450.53
298.57,590.4,1011.98,687.8,444.51
288.22,406.9,1015.29,709.8000000000001,469.03
293.38,520.5,1012.15,474.90000000000003,457.57
300.46000000000004,595.4,1006.24,719.9,440.13
291.05,437.2,1008.64,747.3000000000001,452.55
296.98,713.7,1002.04,647.8,443.29
301.07,749.9,1005.47,751.3,431.76
290.49,447.8,1007.81,563.8000000000001,454.97
279.55,399,1007.75,865.5,486.03
284.93,399.6,1011.37,829.5,472.79
298.26,673.1999999999999,1014.49,583.9,441.93
303.43,709.8000000000001,1007.51,742.8,432.64
290.01,396.3,1004.47,835,466.68
279.40000000000003,400.7,1020.19,652.4,494.39
291.13,568.5,1012.28,845.1999999999999,448.71
294.34000000000003,424.79999999999995,1013.43,805.1999999999999,469.76
294.09000000000003,448.9,1009.64,751.4,450.71
297.38,587.9,1009.8,757.5,444.01
292.33000000000004,582,1017.46,767.2,453.2
294.03000000000003,578.5,1012.39,854.7,450.87
296.82,638.6,1019.67,579.5,441.73
287.27000000000004,395.20000000000005,1018.41,783.1999999999999,465.09
298.38,646.3,1020.59,522,447.28
279.69,393.29999999999995,1011.54,936.9,491.16
293.23,625.2,1017.99,757.4,450.98
300.97,797.4,1008.37,694.5999999999999,436.48
288.70000000000005,420.3,1017.41,745.8,460.84
297.41,695.1,1013.43,532.3,442.56
284.21000000000004,406.4,1021.47,961.5999999999999,479.13
298.06,523,1008.72,682.6,441.15
285.1,406.9,1015.62,853.4000000000001,475.4
288,406.9,1014.91,726.4,469.3
289.29,442.1,1020.36,805.9000000000001,461.03
288.26,431.3,1014.99,469.09999999999997,466.74
297.29,598.6999999999999,1018.47,577.6,444.04
303.23,672.5,1017.6,530.9000000000001,434.01
287.92,449,1020.5,843.1,465.23
300.75,693.4000000000001,1009.63,715.8,440.6
287.04,448.40000000000003,1023.66,929.7,466.74
300,756,1017.43,745.5,433.48
285.56,409.6,1023.36,789.5999999999999,473.59
286.23,417.40000000000003,1020.75,644.4,474.81
292.08000000000004,440.6,1017.58,682.3000000000001,454.75
293.65000000000003,496.9,1009.6,708.1,452.94
303.87,691.3,1009.94,616.5999999999999,435.83
280.70000000000005,392.2,1014.53,777.6,482.19
286.64000000000004,444.7,1030.46,694.9,466.66
288.77000000000004,401.2,1013.03,962.6,462.59
297.95,646.3,1020.69,557.4,447.82
283.18,416.2,1014.55,956.1,462.73
295.58000000000004,632.1,1012.06,847.5,447.98
288.1,393.1,1009.15,753,462.72
296.35,484.09999999999997,1008.64,809.2,444.69
287.16,390,1016.73,792.3000000000001,466.7
303.3,673.1999999999999,1013.83,328,436.92
280.06,360.79999999999995,1021.82,843.1,486.37
302.19,600.7,1015.42,461.5,440.43
299.17,630.7,1010.94,539.6,446.82
279.04,394.79999999999995,1005.11,598.3,484.91
301.68,680.8,1013.27,425.3,438.91
296.1,677.9000000000001,1009.89,916.9,442.19
297.11,474.3,1008.38,635.5,446.86
290.63,442,1018.89,615.1,457.15
283.40000000000003,412.59999999999997,1007.44,980.8,476.03
302.02000000000004,725.8,1008.69,793.4000000000001,428.89
288.27000000000004,520.5,1014.63,803.8,464.78
301.02000000000004,707.9000000000001,1003.96,721.7,428.41
296.87,704.7,1010.65,753.9,438.5
281.57000000000005,406.4,1022.35,963.8,476.29
295.61,584.9,1011.5,705.4000000000001,448.46
284.83000000000004,392.2,1017.9,579.5,471.8
287.19,424.4,1012.74,818.9,471.81
293.01,591.4,1016.12,693.1999999999999,449.82
281.71000000000004,407.1,1021.27,958.7,471.58
298.01,723.9,1001.15,902.4,440.85
302.15000000000003,775.4000000000001,1011.33,751.3,431.37
300.74,719.7,1008.64,882.2,437.33
283.6,407.1,1015.68,814.8000000000001,469.22
281.66,407.8,1023.51,898.4000000000001,471.11
295.71000000000004,622.6,1012.11,631.5999999999999,445.33
284.53000000000003,392.2,1018.62,571.4,473.71
293.40000000000003,577.6,1016.28,777.6,452.66
298.77000000000004,588.2,1010.02,703.1,444.14
293,565.3,1020.57,740.5,457.17
286.82,543,1015.92,754.2,467.87
297.54,707.2,1009.78,822.5,442.04
289.22,445.79999999999995,1019.52,679.5,471.36
284.75,391,1009.81,1000.9000000000001,460.7
304.53000000000003,708.3,1010.35,472.8,431.33
303.06,768.6,998.59,724.0999999999999,432.6
292.82,593.9,1014.07,776.7,447.61
